UF;Zona;Partido;G�nero;Grau de escolaridade;Faixa et�ria;Quantitativo;Porcentagem (%);qt_nome_social;qt_deficientes;Data de carga
RS;1;DEM;MASCULINO;ENSINO M�DIO COMPLETO;60 a 69 anos;16;0,4103;0;0;2024-09-16 15:01:10
RS;1;DEM;MASCULINO;ENSINO M�DIO COMPLETO;70 a 79 anos;3;0,0769;0;1;2024-09-16 15:01:10
RS;1;DEM;MASCULINO;ENSINO M�DIO COMPLETO;Superior a 79 anos;3;0,0769;0;0;2024-09-16 15:01:10
RS;1;DEM;MASCULINO;ENSINO M�DIO INCOMPLETO;35 a 44 anos;2;0,1429;0;0;2024-09-16 15:01:10
RS;1;DEM;MASCULINO;ENSINO M�DIO INCOMPLETO;45 a 59 anos;8;0,5714;0;0;2024-09-16 15:01:10
RS;1;DEM;MASCULINO;ENSINO M�DIO INCOMPLETO;60 a 69 anos;1;0,0714;0;0;2024-09-16 15:01:10
RS;1;DEM;MASCULINO;ENSINO M�DIO INCOMPLETO;70 a 79 anos;3;0,2143;0;0;2024-09-16 15:01:10
RS;1;DEM;MASCULINO;L� E ESCREVE;45 a 59 anos;1;0,5;0;0;2024-09-16 15:01:10
RS;1;DEM;MASCULINO;L� E ESCREVE;70 a 79 anos;1;0,5;0;0;2024-09-16 15:01:10
RS;1;DEM;MASCULINO;SUPERIOR COMPLETO;25 a 34 anos;2;0,025;0;0;2024-09-16 15:01:10
RS;1;DEM;MASCULINO;SUPERIOR COMPLETO;35 a 44 anos;11;0,1375;0;0;2024-09-16 15:01:10
RS;1;DEM;MASCULINO;SUPERIOR COMPLETO;45 a 59 anos;16;0,2;0;0;2024-09-16 15:01:10
RS;1;DEM;MASCULINO;SUPERIOR COMPLETO;60 a 69 anos;19;0,2375;0;0;2024-09-16 15:01:10
RS;1;DEM;MASCULINO;SUPERIOR COMPLETO;70 a 79 anos;16;0,2;0;1;2024-09-16 15:01:10
RS;1;DEM;MASCULINO;SUPERIOR COMPLETO;Superior a 79 anos;16;0,2;0;0;2024-09-16 15:01:10
RS;1;DEM;MASCULINO;SUPERIOR INCOMPLETO;25 a 34 anos;3;0,1;0;0;2024-09-16 15:01:10
RS;1;DEM;MASCULINO;SUPERIOR INCOMPLETO;35 a 44 anos;4;0,1333;0;0;2024-09-16 15:01:10
RS;1;DEM;MASCULINO;SUPERIOR INCOMPLETO;45 a 59 anos;9;0,3;0;0;2024-09-16 15:01:10
RS;1;DEM;MASCULINO;SUPERIOR INCOMPLETO;60 a 69 anos;12;0,4;0;0;2024-09-16 15:01:10
RS;1;DEM;MASCULINO;SUPERIOR INCOMPLETO;70 a 79 anos;2;0,0667;0;0;2024-09-16 15:01:10
RS;1;MDB;FEMININO;ANALFABETO;45 a 59 anos;2;1;0;0;2024-09-16 15:01:10
RS;1;MDB;FEMININO;ENSINO FUNDAMENTAL COMPLETO;25 a 34 anos;2;0,0286;0;0;2024-09-16 15:01:10
RS;1;MDB;FEMININO;ENSINO FUNDAMENTAL COMPLETO;35 a 44 anos;2;0,0286;0;0;2024-09-16 15:01:10
